feature,importance,feature_type
dim_80,0.001378844412321579,embedding
dim_37,0.0013752131316098271,embedding
dim_223,0.0013549288218454706,embedding
dim_243,0.0013513145395610041,embedding
dim_582,0.0013496407232446413,embedding
dim_432,0.0013400514043491545,embedding
dim_627,0.0013391614932475237,embedding
dim_761,0.0013345830603251599,embedding
dim_264,0.001333554573958797,embedding
dim_748,0.001314375486425479,embedding
dim_238,0.0013095358344901683,embedding
dim_159,0.0013053573329762148,embedding
dim_624,0.0012666953686437975,embedding
dim_68,0.0012510181954019867,embedding
dim_454,0.0012435832512365358,embedding
dim_552,0.0012211726216203248,embedding
dim_631,0.001219843570491241,embedding
dim_172,0.001200750182381662,embedding
dim_288,0.0011934316987104096,embedding
dim_570,0.001191209974457359,embedding
dim_15,0.0011861611763315572,embedding
dim_693,0.0011660672029025882,embedding
dim_596,0.0011444833508071706,embedding
dim_438,0.0011347314470899787,embedding
dim_661,0.0011335479976760999,embedding
dim_697,0.0011215053980571028,embedding
dim_346,0.0011170789788487198,embedding
dim_533,0.001109477092085122,embedding
dim_353,0.0011058979987210997,embedding
dim_260,0.0011056951675746036,embedding
dim_527,0.0010847244398046296,embedding
dim_49,0.0010778794528099164,embedding
dim_273,0.0010643042365075753,embedding
dim_477,0.0010597015301837891,embedding
dim_47,0.0010581693859660006,embedding
dim_546,0.0010532801292212708,embedding
dim_366,0.001035133624988617,embedding
dim_660,0.0010283013689683163,embedding
dim_473,0.0010190281963324429,embedding
dim_417,0.0010005885990394064,embedding
dim_11,0.0009832079339128056,embedding
dim_509,0.0009765803845231602,embedding
dim_476,0.00095048597984076,embedding
dim_636,0.0009310768108522062,embedding
dim_352,0.0009126713305837758,embedding
dim_738,0.0009113378731243303,embedding
dim_226,0.0009072843614180229,embedding
dim_724,0.0009062402124948234,embedding
dim_56,0.0008829214998787857,embedding
dim_387,0.0008653799520212679,embedding
dim_371,0.0008509216822384137,embedding
dim_340,0.0008430110092023869,embedding
dim_82,0.0008424312602805782,embedding
dim_123,0.0008316144256776545,embedding
dim_181,0.0008297498591877593,embedding
dim_19,0.0008223890843150532,embedding
dim_152,0.0008223722482273788,embedding
dim_117,0.0007855088437088516,embedding
dim_728,0.0007852175794442746,embedding
dim_708,0.0007758745231349044,embedding
dim_652,0.0007708461412461999,embedding
dim_25,0.0007684607313821684,embedding
dim_293,0.0007655602821481221,embedding
dim_408,0.0007629499580868484,embedding
dim_175,0.0007564330125934177,embedding
dim_164,0.0007549550245179295,embedding
dim_309,0.0007474419620175825,embedding
dim_356,0.000741574425175872,embedding
dim_209,0.0007302117392332321,embedding
dim_85,0.0007292874280931019,embedding
dim_315,0.0007289495113820029,embedding
dim_275,0.0007269679013165492,embedding
dim_111,0.0007113506195727705,embedding
dim_314,0.000701269666221958,embedding
dim_21,0.0006979721728572302,embedding
dim_536,0.0006966641636011896,embedding
dim_712,0.0006964928857424317,embedding
dim_54,0.000684680101780962,embedding
dim_568,0.000680932783531776,embedding
dim_357,0.0006740993221587317,embedding
dim_615,0.0006730533993508584,embedding
dim_63,0.0006680606105093599,embedding
dim_79,0.0006632011326760913,embedding
dim_729,0.0006591221560970548,embedding
dim_188,0.0006587895108003816,embedding
dim_489,0.0006560681054936869,embedding
dim_543,0.0006434573979211434,embedding
dim_465,0.000643388612475038,embedding
dim_481,0.0006432988034442369,embedding
dim_29,0.0006319564919889436,embedding
dim_354,0.0006162035251729216,embedding
dim_528,0.0006157277917531182,embedding
dim_125,0.000609567536774033,embedding
dim_341,0.0006090086566476963,embedding
dim_750,0.0006074635618178804,embedding
dim_679,0.0006018182538468594,embedding
dim_379,0.0006002854837097411,embedding
dim_603,0.0005996167214028339,embedding
dim_236,0.0005995178705837717,embedding
dim_22,0.0005904429557487622,embedding
dim_434,0.0005850260214039912,embedding
dim_284,0.000579440941217394,embedding
dim_141,0.0005747862262349149,embedding
dim_46,0.0005747555000801526,embedding
dim_320,0.0005633407249697525,embedding
dim_449,0.0005605136730755551,embedding
dim_251,0.0005555844222272209,embedding
dim_467,0.0005549416671428193,embedding
dim_48,0.0005538685850971622,embedding
samp_collect_device_encoded,0.0005538129466844786,collection_device
dim_253,0.0005487515273441458,embedding
dim_83,0.0005327219575951439,embedding
dim_302,0.000526880282743128,embedding
dim_67,0.0005267696437860847,embedding
dim_365,0.0005259952183261874,embedding
dim_439,0.0005246402101228764,embedding
dim_674,0.000520305018766929,embedding
dim_143,0.0005201935821510927,embedding
dim_397,0.0005201782124043019,embedding
dim_369,0.0005131163464432033,embedding
dim_348,0.0005110356564794864,embedding
dim_295,0.000508348922996179,embedding
dim_720,0.0005028342203462938,embedding
dim_182,0.0005003622151151714,embedding
dim_349,0.0004984214694483084,embedding
dim_71,0.0004954462759556102,embedding
dim_280,0.0004906047621547866,embedding
dim_525,0.0004893967076210146,embedding
dim_704,0.00047816520279752846,embedding
dim_270,0.0004740148519078495,embedding
dim_597,0.0004703233523431929,embedding
dim_229,0.0004701910658711506,embedding
dim_675,0.0004700784305101053,embedding
dim_694,0.0004683422561967447,embedding
dim_310,0.0004597454547088934,embedding
dim_429,0.0004533957299093029,embedding
dim_133,0.00045268577541851486,embedding
dim_677,0.00044966877168785285,embedding
dim_351,0.0004492039312127489,embedding
dim_415,0.0004439166242953759,embedding
dim_297,0.0004394070855649565,embedding
dim_446,0.0004367375982862685,embedding
dim_542,0.0004321790631848226,embedding
dim_756,0.000422967630157154,embedding
dim_550,0.0004217794670932247,embedding
dim_757,0.00041209771710137795,embedding
dim_358,0.00040744640301317963,embedding
dim_206,0.000403332988941415,embedding
dim_72,0.00039881532973803354,embedding
dim_198,0.000398073253612335,embedding
dim_450,0.0003977070622619785,embedding
dim_390,0.0003946861717310366,embedding
dim_580,0.00039259534891217663,embedding
dim_753,0.00039164033341932054,embedding
dim_319,0.0003892988151675063,embedding
dim_741,0.0003892612498962824,embedding
dim_219,0.00038324943711514915,embedding
dim_303,0.00038247249480831413,embedding
dim_344,0.0003820426749184509,embedding
dim_271,0.0003736182220889934,embedding
dim_338,0.00037334195534840484,embedding
dim_670,0.00036596135317587064,embedding
dim_643,0.00036205428553370166,embedding
dim_367,0.00035962139995733,embedding
dim_650,0.00035896119255125313,embedding
dim_392,0.000358627569293386,embedding
dim_640,0.00035146550349148984,embedding
dim_149,0.00034409041140999886,embedding
dim_363,0.00034100926807939817,embedding
dim_199,0.0003398057509970021,embedding
dim_34,0.0003395056451223443,embedding
dim_648,0.0003394115181483745,embedding
dim_205,0.000338195500092823,embedding
dim_212,0.00033567062513375915,embedding
dim_766,0.00033525208510376797,embedding
dim_115,0.0003351339549768635,embedding
dim_45,0.00033376763082866237,embedding
dim_200,0.0003317954986744257,embedding
dim_232,0.00032826814404992314,embedding
dim_657,0.0003273923363201265,embedding
dim_680,0.00032040708481926894,embedding
dim_36,0.0003198690118916723,embedding
dim_418,0.00031548637016937,embedding
dim_3,0.0003152343085081043,embedding
dim_760,0.00031123386238068765,embedding
dim_393,0.00031040877270603357,embedding
dim_193,0.0003071405020663284,embedding
dim_451,0.0003047220841158549,embedding
dim_425,0.0003043099635416159,embedding
dim_124,0.0003043093717260414,embedding
dim_116,0.00030034701488443664,embedding
dim_695,0.000299106962787745,embedding
dim_493,0.0002981812307033458,embedding
dim_154,0.0002966051149803315,embedding
dim_89,0.0002962706740257588,embedding
dim_183,0.0002955703989457693,embedding
dim_611,0.00029382944003058517,embedding
dim_228,0.00029032127238076536,embedding
dim_16,0.00028777236245395037,embedding
dim_407,0.000285722108638262,embedding
dim_317,0.00028439493983378083,embedding
dim_370,0.00028020594769687346,embedding
dim_104,0.0002784569067001515,embedding
dim_335,0.0002781535965493161,embedding
dim_492,0.0002779993719517988,embedding
dim_151,0.00027488467867328373,embedding
dim_185,0.00027429751518457594,embedding
dim_498,0.00026930560066833886,embedding
dim_307,0.00026911187532920966,embedding
dim_207,0.00026805073508097307,embedding
dim_318,0.00026645616595237574,embedding
dim_747,0.0002636561502227805,embedding
dim_166,0.0002606287894783229,embedding
dim_396,0.0002605931083495816,embedding
dim_421,0.0002595860005944017,embedding
dim_272,0.00025822086899930267,embedding
dim_274,0.0002576182006533842,embedding
dim_121,0.0002565687888253479,embedding
dim_327,0.00025509488513252444,embedding
dim_545,0.0002547771503972357,embedding
dim_95,0.0002534190402388264,embedding
dim_723,0.00025193707679362326,embedding
dim_497,0.0002495546812257199,embedding
dim_409,0.0002495432201304684,embedding
dim_414,0.00024807962154014374,embedding
dim_632,0.00024398766379035063,embedding
dim_64,0.00024346598095170526,embedding
dim_599,0.00023755368156285503,embedding
dim_180,0.0002371382921718411,embedding
dim_176,0.0002349915275745544,embedding
dim_411,0.0002316484382972216,embedding
dim_368,0.00023077581893384046,embedding
dim_671,0.0002298010361387478,embedding
dim_442,0.00022961445722277193,embedding
dim_58,0.000227317133635724,embedding
dim_752,0.00022725726581912338,embedding
dim_433,0.00021898163764208273,embedding
dim_265,0.0002181581512242258,embedding
dim_100,0.00021807696051862223,embedding
dim_737,0.00021363335686379532,embedding
dim_383,0.0002117539321204793,embedding
dim_225,0.00021039625171959093,embedding
dim_96,0.00020974557346724085,embedding
dim_208,0.00020912818615660716,embedding
dim_165,0.00020905588819556892,embedding
dim_93,0.00020876652197371657,embedding
dim_391,0.0002083541780819043,embedding
dim_635,0.00020790294480476499,embedding
dim_478,0.00020752703396990888,embedding
dim_109,0.0002049809338935303,embedding
dim_27,0.00020055021025595237,embedding
dim_12,0.00020011819057663748,embedding
dim_14,0.00019871773485837554,embedding
dim_453,0.00019761174508845222,embedding
dim_334,0.00019464748266738926,embedding
