site_id,latitude,longitude
V10_CKI_U_5_5,-24.890733333333333,106.77843333333334
V10_CKI_N_5_1,-24.890733333333333,106.77843333333334
V10_CKI_N_5_2,-24.890733333333333,106.77843333333334
V10_CKI_N_5_3,-24.890733333333333,106.77843333333334
V10_CKI_N_5_4,-24.890733333333333,106.77843333333334
V10_CKI_N_5_5,-24.890733333333333,106.77843333333334
V10_CKI_N_6_1,-24.25455,106.00433333333334
V10_CKI_N_6_2,-24.25455,106.00433333333334
V10_CKI_N_6_3,-24.25455,106.00433333333334
V10_CKI_N_6_4,-24.25455,106.00433333333334
V10_CKI_N_6_5,-24.25455,106.00433333333334
V10_CKI_V_6_1,-24.25455,106.00433333333334
V10_CKI_V_6_2,-24.25455,106.00433333333334
V10_CKI_V_6_3,-24.25455,106.00433333333334
V10_CKI_V_6_4,-24.25455,106.00433333333334
V10_CKI_V_6_5,-24.25455,106.00433333333334
V10_CKI_U_7_1,-23.648066666666665,105.28743333333334
V10_CKI_U_7_2,-23.648066666666665,105.28743333333334
V10_CKI_U_7_3,-23.648066666666665,105.28743333333334
V10_CKI_U_7_4,-23.648066666666665,105.28743333333334
V10_CKI_U_7_5,-23.648066666666665,105.28743333333334
V10_CKI_N_7_1,-23.648066666666665,105.28743333333334
V10_CKI_N_7_2,-23.648066666666665,105.28743333333334
V10_CKI_N_7_3,-23.648066666666665,105.28743333333334
V10_CKI_N_7_4,-23.648066666666665,105.28743333333334
V10_CKI_N_7_5,-23.648066666666665,105.28743333333334
V10_CKI_U_8_1,-22.324166666666667,103.71446666666667
V10_CKI_U_8_2,-22.324166666666667,103.71446666666667
V10_CKI_U_8_3,-22.324166666666667,103.71446666666667
V10_CKI_U_8_4,-22.324166666666667,103.71446666666667
V10_CKI_U_8_5,-22.324166666666667,103.71446666666667
V10_CKI_N_8_1,-22.324166666666667,103.71446666666667
V10_CKI_N_8_2,-22.324166666666667,103.71446666666667
V10_CKI_N_8_3,-22.324166666666667,103.71446666666667
V10_CKI_N_8_4,-22.324166666666667,103.71446666666667
V10_CKI_N_8_5,-22.324166666666667,103.71446666666667
V10_CKI_N_9_1,-21.723633333333332,102.99216666666666
V10_CKI_N_9_2,-21.723633333333332,102.99216666666666
V10_CKI_N_9_3,-21.723633333333332,102.99216666666666
V10_CKI_N_9_4,-21.723633333333332,102.99216666666666
V10_CKI_N_9_5,-21.723633333333332,102.99216666666666
V10_CKI_V_9_1,-21.723633333333332,102.99216666666666
V10_CKI_V_9_2,-21.723633333333332,102.99216666666666
V10_CKI_V_9_3,-21.723633333333332,102.99216666666666
V10_CKI_V_9_4,-21.723633333333332,102.99216666666666
V10_CKI_V_9_5,-21.723633333333332,102.99216666666666
V10_CKI_U_10_1,-21.163566666666668,102.33536666666667
V10_CKI_U_10_2,-21.163566666666668,102.33536666666667
V10_CKI_U_10_3,-21.163566666666668,102.33536666666667
V10_CKI_U_10_4,-21.163566666666668,102.33536666666667
V10_CKI_U_10_5,-21.163566666666668,102.33536666666667
V10_CKI_N_10_1,-21.163566666666668,102.33536666666667
V10_CKI_N_10_2,-21.163566666666668,102.33536666666667
V10_CKI_N_10_3,-21.163566666666668,102.33536666666667
V10_CKI_N_10_4,-21.163566666666668,102.33536666666667
V10_CKI_N_10_5,-21.163566666666668,102.33536666666667
V10_CKI_U_11_1,-19.873216666666668,100.8182
V10_CKI_U_11_2,-19.873216666666668,100.8182
V10_CKI_U_11_3,-19.873216666666668,100.8182
V10_CKI_U_11_4,-19.873216666666668,100.8182
V10_CKI_U_11_5,-19.873216666666668,100.8182
V10_CKI_N_11_1,-19.873216666666668,100.8182
V10_CKI_N_11_2,-19.873216666666668,100.8182
V10_CKI_N_11_3,-19.873216666666668,100.8182
V10_CKI_N_11_4,-19.873216666666668,100.8182
V10_CKI_N_11_5,-19.873216666666668,100.8182
V10_CKI_N_12_1,-19.23755,100.07471666666666
V10_CKI_N_12_2,-19.23755,100.07471666666666
V10_CKI_N_12_3,-19.23755,100.07471666666666
V10_CKI_N_12_4,-19.23755,100.07471666666666
V10_CKI_N_12_5,-19.23755,100.07471666666666
V10_CKI_N_H_5_12_1,-19.23755,100.07471666666666
V10_CKI_N_H_5_12_2,-19.23755,100.07471666666666
V10_CKI_N_H_5_12_3,-19.23755,100.07471666666666
V10_CKI_N_H_2_12_1,-19.23755,100.07471666666666
V10_CKI_N_H_2_12_2,-19.23755,100.07471666666666
V10_CKI_N_H_2_12_3,-19.23755,100.07471666666666
V10_CKI_U_13_1,-18.645616666666665,99.39633333333333
V10_CKI_U_13_2,-18.645616666666665,99.39633333333333
V10_CKI_U_13_3,-18.645616666666665,99.39633333333333
V10_CKI_U_13_4,-18.645616666666665,99.39633333333333
V10_CKI_U_13_5,-18.645616666666665,99.39633333333333
V10_CKI_N_13_1,-18.645616666666665,99.39633333333333
V10_CKI_N_13_2,-18.645616666666665,99.39633333333333
V10_CKI_N_13_3,-18.645616666666665,99.39633333333333
V10_CKI_N_13_4,-18.645616666666665,99.39633333333333
V10_CKI_N_13_5,-18.645616666666665,99.39633333333333
V10_CKI_U_14_1,-17.296616666666665,97.84051666666667
V10_CKI_U_14_2,-17.296616666666665,97.84051666666667
V10_CKI_U_14_3,-17.296616666666665,97.84051666666667
V10_CKI_U_14_4,-17.296616666666665,97.84051666666667
V10_CKI_U_14_5,-17.296616666666665,97.84051666666667
V10_CKI_N_14_1,-17.296616666666665,97.84051666666667
V10_CKI_N_14_2,-17.296616666666665,97.84051666666667
V10_CKI_N_14_3,-17.296616666666665,97.84051666666667
V10_CKI_N_14_4,-17.296616666666665,97.84051666666667
V10_CKI_N_14_5,-17.296616666666665,97.84051666666667
